Rows Columns Fullness Bottum_Bits CRS_Bits Data_Bits Total_Bits Dense_Bits
10 10 0.1 66 67 80 180 800
10 10 0.2 91 116 160 285 800
10 10 0.3 112 159 240 386 800
10 10 0.4 125 199 320 478 800
10 10 0.5 134 240 400 568 800
10 10 0.6 138 279 480 651 800
10 10 0.7 143 318 560 735 800
10 10 0.8 147 357 640 816 800
10 10 0.9 148 398 720 899 800
10 10 1.0 148 439 800 958 800
100 100 0.1 6503 7674 8000 14514 80000
100 100 0.2 9471 14651 16000 25455 80000
100 100 0.3 11296 21607 24000 35230 80000
100 100 0.4 12498 28574 32000 44394 80000
100 100 0.5 13321 35554 40000 53195 80000
100 100 0.6 13888 42527 48000 61731 80000
100 100 0.7 14266 49509 56000 70088 80000
100 100 0.8 14493 56470 64000 78271 80000
100 100 0.9 14634 63483 72000 86426 80000
100 100 1.0 14676 70436 80000 94247 80000
1000 1000 0.1 631047 1006123 800000 1427992 8000000
1000 1000 0.2 917448 2002170 1600000 2511230 8000000
1000 1000 0.3 1094008 2998193 2400000 3484608 8000000
1000 1000 0.4 1207162 3994310 3200000 4394656 8000000
1000 1000 0.5 1276562 4990136 4000000 5260717 8000000
1000 1000 0.6 1316448 5986455 4800000 6097658 8000000
1000 1000 0.7 1336554 6982727 5600000 6914782 8000000
1000 1000 0.8 1345360 7978395 6400000 7720122 8000000
1000 1000 0.9 1348330 8974561 7200000 8520025 8000000
1000 1000 1.0 1348948 9970542 8000000 9316235 8000000
