Size Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
256 0.30 0.00 0.15 3 2 0 0 1
1024 0.30 0.00 0.59 1 1 0 0 1
4096 0.30 0.00 2.41 2 3 1 1 6
16384 0.30 0.00 10.08 5 17 2 2 24
65536 0.30 0.00 42.33 14 90 6 7 236
262144 0.30 0.00 178.17 74 603 11 14 2182
1048576 0.30 0.00 749.81 164 4557 44 45 28047

Fullness Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
1048576 0.10 0.00 251.73 147 2353 39 40 23368
1048576 0.20 0.00 500.77 153 3587 42 43 25824
1048576 0.30 0.00 749.81 161 4722 45 56 27792
1048576 0.40 0.00 998.84 157 5703 46 58 29295
1048576 0.50 0.00 1247.88 158 6795 48 49 30591
