Size Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
256 0.30 0.00 0.15 3 1 0 1 1
1024 0.30 0.00 0.59 0 0 1 1 1
4096 0.30 0.00 2.41 1 1 1 3 5
16384 0.30 0.00 10.08 2 2 3 18 22
65536 0.30 0.00 42.33 6 7 11 90 245
262144 0.30 0.00 178.17 17 19 42 590 2157
1048576 0.30 0.00 749.81 58 51 160 4653 27675

Fullness Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
1048576 0.10 0.00 251.73 39 42 154 2360 22884
1048576 0.20 0.00 500.77 62 46 152 3542 25472
1048576 0.30 0.00 749.81 56 49 174 4712 27705
1048576 0.40 0.00 998.84 66 52 191 6212 29036
1048576 0.50 0.00 1247.88 66 53 172 7075 31008
