Size Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
256 0.30 0.00 0.26 2 1 0 0 0
1024 0.30 0.00 1.03 0 0 0 0 1
4096 0.30 0.00 4.10 0 1 1 1 2
16384 0.30 0.00 16.39 1 1 1 1 9
65536 0.30 0.00 65.54 4 7 4 5 91
262144 0.30 0.00 262.15 13 8 9 8 1275
1048576 0.30 0.00 1048.58 29 30 31 39 22193

Fullness Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
1048576 0.10 0.00 1048.58 19 47 21 21 22035
1048576 0.20 0.00 1048.58 19 20 19 41 20924
1048576 0.30 0.00 1048.58 19 42 20 20 20574
1048576 0.40 0.00 1048.58 47 19 19 19 20212
1048576 0.50 0.00 1048.58 19 21 19 20 20271
