Size Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
256 0.30 0.01 0.12 2 2 0 1 5
1024 0.30 0.01 0.45 0 1 0 2 16
4096 0.30 0.01 1.80 1 2 1 9 63
16384 0.30 0.01 7.18 3 15 3 60 58
65536 0.30 0.01 28.62 9 78 9 172 133
262144 0.30 0.01 114.40 28 594 32 1349 1438
1048576 0.30 0.01 457.86 127 4600 126 9957 23730

Fullness Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
1048576 0.10 0.01 187.49 88 4551 105 9779 21200
1048576 0.20 0.01 329.85 99 4642 114 9924 21363
1048576 0.30 0.01 457.65 110 4570 124 10339 21103
1048576 0.40 0.01 577.27 113 4735 127 9831 20799
1048576 0.50 0.01 690.81 119 4519 133 10043 20809
