Size Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
256 0.30 0.00 0.26 4 2 0 0 1
1024 0.30 0.00 1.03 1 1 1 1 1
4096 0.30 0.00 4.10 3 3 3 3 4
16384 0.30 0.00 16.39 13 9 7 7 18
65536 0.30 0.00 65.54 26 26 30 30 116
262144 0.30 0.00 262.15 112 99 87 92 1328
1048576 0.30 0.00 1048.58 359 334 324 326 21662

Fullness Test:
Elements Fullness Cache_Size Total_Size SeqRow RanRow SeqCol RanCol Random
1048576 0.10 0.00 1048.58 380 343 334 336 21321
1048576 0.20 0.00 1048.58 374 340 331 332 20890
1048576 0.30 0.00 1048.58 339 339 340 328 20672
1048576 0.40 0.00 1048.58 343 336 327 329 20319
1048576 0.50 0.00 1048.58 333 337 328 330 20478
